average_rate_per_night,bedrooms_count,city,date_of_listing,description,title,url
$82.00,2,Austin,December 2015,"Cute two bedroom with lots of windows, sunny back deck, front porch in friendly neighborhood (Hyde Park, Austin) near UT and downtown. Easy walk to coffee shops and restaurants!",Cosy 2 Bedroom in Hyde Park!,https://www.airbnb.com/rooms/18550276?location=Cedar%20Park%2C%20TX
$275.00,1,Port Aransas,February 2017,"My place is close to the beach, restaurants and dining, family-friendly activities, and great views. My place is good for couples, solo adventurers, and business travelers.",Ocean Getaway with Magnificent Views,https://www.airbnb.com/rooms/17402254?location=Corpus%20Christi%2C%20TX
$1500.00,4,Houston,January 2017,4 bedroom 2 bathroom home with an open floor plan great for entertaining located in a quiet neighborhood and conveniently located to 59 and beltway 8.,Super Bowl 2017 4 BDRM Home Retreat,https://www.airbnb.com/rooms/16964526?location=Channelview%2C%20TX
$250.00,2,Frisco,December 2014,"This unique lakefront area is perfect for creating wonderful memories with your friends and family. It is located right outside the City of Frisco, so it is less than 5 minutes to any shopping and entertainment, yet it is a cozy relaxed atmosphere.",Lake Lewisville Lakefront Convenient to Frisco,https://www.airbnb.com/rooms/4785810?location=Corinth%2C%20TX
$2999.00,4,Katy,January 2017,4 Bedroom 3 Baths Sleeps 10-12 Theater Room Plus Luxury Car,New Super Bowl House & Luxury Car,https://www.airbnb.com/rooms/17005150?location=Cinco%20Ranch%2C%20TX
$350.00,3,College Station,September 2015,"Nice 3 bed, 2 bathroom home in the beautiful Castlegate neighborhood. 50 inch flat screen in the living room and main bedroom. Very clean home with ample room to host 5 people comfortably. I can set the ping pong table up in the garage if requested",3/2 Home in Castlegate,https://www.airbnb.com/rooms/8419392?location=College%20Station%2C%20TX
$165.00,3,Katy,September 2016,This apartment is very nice for any family or group for a relaxing time or just a place to stay. Everyone is welcome. You are welcomed to use the pool and workout equipment at your leisure. This home also offers a full size garage for parking of two vehicles.,Getaway Gateway Apartment Home,https://www.airbnb.com/rooms/17188329?location=Cinco%20Ranch%2C%20TX
$65.00,1,Katy,September 2016,"My place is close to Katy Mills Mall Shopping, LaCentera Mall, Movie Theaters, Restaurants I Grand Parkway., nightlife. You’ll love my place because of the neighborhood , the comfy bed, the kitchen, the outdoors space, the light. My place is good for couples, business travelers, and families (with kids).",Luxury Master Bedroom in Safe & Quite Neibourhood,https://www.airbnb.com/rooms/15860117?location=Cinco%20Ranch%2C%20TX
$100.00,Studio,Denton,November 2015,"A converted carriage house walking distance to downtown Denton and University of North Texas Campus. DCTA bus stop located across the street and downtown DCTA train station a mile away. Has a kitchenette with microwave, refrigerator with freezer, and a coffee pot. Has a Murphy bed downstairs, and a loft with space for an air mattress. Please use caution on ladder stairs.",Historic Converted Carriage House,https://www.airbnb.com/rooms/16650025?location=Corinth%2C%20TX
,2,San Antonio,July 2014,"2 bedroom 4 bed chalet/town-home sleeps 6-8 with 2 pools and hottub! central San Antonio Only 15-18 min river walk 20-25 min sea world 15 min fiesta Texas, 25 min Gruene/new braunfels. Onsite concierge medicine, Rental car, massage and babysitting available at discounted prices.",ChaletAzul 2RM/4BD 30day rent Avail,https://www.airbnb.com/rooms/6088158?location=Cibolo%2C%20TX
$36.00,1,Richmond,February 2017,"Private Room (shared bathroom) in a warm family home. It's perfect for business trips, vacation and extended stays. If you are in town as a childbirth tourist, this is also a perfect place for you.",King Size Bed room,https://www.airbnb.com/rooms/17407499?location=Cinco%20Ranch%2C%20TX
$65.00,1,Katy,January 2017,"Cozy room, special for couples or business trips. We talk spanish, english and french",Private Room in Katy,https://www.airbnb.com/rooms/16916119?location=Cinco%20Ranch%2C%20TX
$110.00,1,Austin,September 2015,"Comfortable Traditional Interior Furniture in Amazing Location minutes Drive to SoCo, Downtown, ACL, &amp; SXSW. Walk to SoLa Eateries Coffee or Bars! Large queen bed &amp; sofa double bed comfortably accommodates up to 4. Free WiFi, Cable TV &amp; 1 Reserved Parking.",Fabulous Central Austin Condo!,https://www.airbnb.com/rooms/13571814?location=Austin%2C%20TX
$650.00,1,Houston,July 2016,"Upstairs &amp; down stairs 2 beds included, great for Super Bowl stay. Gated community serious inquiries only.",Luxurious TH 10 min from Downtown,https://www.airbnb.com/rooms/16842438?location=Channelview%2C%20TX
$194.00,3,Plano,August 2016,"This beautiful home located in a nice and convenient community in North Plano with best schools around. You can stay here with a peaceful mind, because we have prepared everything brand new for you. You will find everything a hotel provide here, and much more! High speed wifi (ultimate fast speed up to 200 Mbps), 55 inch Smart TV(Netflix and local channels), double garage, outdoor grill, study area, etc. It is good for couples, business travellers, families (with kids), and big groups. BOOK NOW!",Fully Renovated Vacation Home in North Plano,https://www.airbnb.com/rooms/15028039?location=Celina%2C%20TX
$75.00,1,Houston,January 2017,This is a great space for couch surfing with lots of available space in the living room for up to 6 people. It is only 15 minute drive to the super bowl. A 15 min drive to downtown bars. A 10 min walk to the green line metro rail that goes downtown.,Living Room for Super Bowl,https://www.airbnb.com/rooms/17009039?location=Channelview%2C%20TX
$81.00,Studio,Arlington,September 2016,"Our place is five to seven minutes directly north of AT&amp;T Stadium, and just as close to The Ballpark in Arlington, Six Flags, Hurricane Harbor, restaurants and dining, family-friendly activities, and nightlife. You’ll love our place because of the treed neighborhood near parks and trails, the comfy bed, and the outdoors space. Our place is good for couples, solo adventurers, and business travelers.",Comfy Garage Apt + Pool Close to FUN!,https://www.airbnb.com/rooms/15190760?location=Bedford%2C%20TX
$119.00,1,Austin,August 2010,"Just minutes from Austin's main attractions, entire 400 sq ft attached apartment in desirable Tarrytown (1940s) neighborhood with living room, bedroom and bath. We are licensed by the City of Austin to operate a Short Term Rental. NOTE: 15% HOTEL OCCUPANCY TAX INCLUDED IN PRICE!",Sunny Central Austin Apartment,https://www.airbnb.com/rooms/46929?location=Colorado%20River%2C%20TX
$225.00,4,Breckenridge,April 2016,"The Bedroll Bunkhouse Ranch is nestled in on 30 acres of beautiful landscape. Very private setting. Come out with friends and family and enjoy our horse shoe pit, star gazzing, listen to the coyotes sing, or just sit and read a book.",The stars at night are amazing,https://www.airbnb.com/rooms/18584603?location=Cisco%2C%20TX
$88.00,1,Houston,August 2016,Come relax on the water in our beautiful beach house style river home. You'll love our shiplap walls but the view is even better!,Monroe Manor,https://www.airbnb.com/rooms/19273801?location=Channelview%2C%20TX
$85.00,1,Spicewood,December 2016,"My place is close to \nSXSW venues\nPoodies Roadhouse\nPace Bend Park\nPedernales River\nMarble Falls\nTexas Hill Country\nApis Restaurant. \n\nYou’ll love my place because of the relaxing location, the pool, Canyon to hike in, Pedernales River to play in or launch your boat, the private park on the river, the people, the ambiance, the outdoors space, and the neighborhood. My place is good for couples, solo adventurers, and business travelers.\n\nDog and cats on property.",Amethyst Room at Canyon Ranch,https://www.airbnb.com/rooms/17132740?location=Briarcliff%2C%20TX
$105.00,1,Austin,January 2012,Modern remodeled Spartan on a large shaded lot.,Chic 1953 Spartanette Guesthouse,https://www.airbnb.com/rooms/321636?location=Colorado%20River%2C%20TX
$499.00,7,Fort Worth,April 2017,"Sleeps 20 guests. Clean, cozy, laid back and quiet place. Plenty of space with property caretaker available at all times. Excellent for a big family group. Your safety and comfort is our main goal. Ample parking space for guests. This home is Wheel Chair accessible with 2 handicapped showers.",Casa de Alexis Guesthome,https://www.airbnb.com/rooms/18366731?location=Cleburne%2C%20TX
$25.00,1,Dallas,April 2016,"LOW COST MOTEL STYLE PRIVATE ROOMS WITH DOOR LOCK &amp; KEY !\nNO NEED TO SCHEDULE YOUR ARRIVAL AS WE MAY NOT BE HOME TO GREET YOU !\nCOME IN AND OUT ANYTIME AFTER 1PM ON YOUR DAY OF ARRIVAL !!! \n\n24/7 KEYLESS ENTRY DOOR CODE, WIFI INFO, AND EVERYTHING YOU NEED TO KNOW ABOUT YOUR STAY WILL BE DETAILED IN AN EMAIL FROM AIRBNB ONCE RESERVATION CONFIRMED !\n\nPlenty of free parking, 2 full Bathrooms\n100% Hassle free and independent stay !\n\nLOCATION: BICKERS ST. &amp; N WESTMORELAND RD. DALLAS 75212","2. Available now, Private w-Key, TV-FREE Movies",https://www.airbnb.com/rooms/13568922?location=Carrollton%2C%20TX
$35.00,1,Killeen,August 2016,My place is close to the airport and the city center.,FEMALE GUEST ONLY,https://www.airbnb.com/rooms/14501505?location=Belton%2C%20TX
$370.00,2,New Braunfels,May 2013,"What a location! The Comal Hideway is nestled right on the Comal River, directly across from Schlitterbahn! \n\nThis fully-furnished unit is a home away from home! Take advantage of the community grills along the river, or relax inside with a spectacular view of the Comal! \n\nMake your next vacation one to remember at the Comal Hideaway!",Comal Hideaway! ACROSS FROM SCHLITTERBAHN!,https://www.airbnb.com/rooms/18547397?location=Comal%20River%2C%20TX
$500.00,3,Abilene,July 2016,"Perfect home for rest and relaxation. With close to 4k sq. ft. You'll feel right at home with big couches, big kitchen, and big comfy beds! Everything's bigger in Texas! You'll have full access to our outdoor patio with fire pit, outdoor shower, and two water features. The space has all been completely renovated and is ready for you to enjoy!",Texas style elegance and class!,https://www.airbnb.com/rooms/18838247?location=Cisco%2C%20TX
$35.00,1,Houston,January 2017,"Clean &amp; Cozy brick home with comfortable room for a guest to rent per night, large backyard with 2 big Trees for shade.Direct TV of over 500 channels to watch. Washer/Dryer, bed sheets/pillow cases",Comfortable Room available for you!,https://www.airbnb.com/rooms/16929402?location=Cinco%20Ranch%2C%20TX
$85.00,3,Abilene,December 2015,"Stylishly updated 3 bedroom house, conveniently located across the street from the Taylor County Expo Center, Shotwell Stadium, The Abilene ZOO, and Lyle Land &amp; Cattle and only minutes from the Abilene Airport.",Summoner Sanctuary--Abilene Home Away From Home,https://www.airbnb.com/rooms/19286138?location=Cisco%2C%20TX
$50.00,1,Austin,June 2017,"Apartment finished to a high standard, for people who value prestige. The apartment is furnished, ready to move in.",Lovely private room,https://www.airbnb.com/rooms/19209856?location=Cedar%20Creek%2C%20TX
$117.00,2,Fort Worth,October 2014,"This house will have you feeling like you're staying in the country when you're a 20-minute walk or 5-minute ride to Downtown! A bikeshare station on Samuels Ave. connects you to points of downtown including West 7th, museum district, magnolia, and the trinity trails. A train track near the house provides some ambient noise adding to a unique atmosphere. We loved while living in this house for over 8 years, renovating it for an open, connected, and modernized concept.",1920's Bungalow / Craftsman near Downtown,https://www.airbnb.com/rooms/7255032?location=Colleyville%2C%20TX
$244.00,2,Marble Falls,January 2014,"Two Bedroom: King in master, two full beds in second bedroom, sleeper sofa in living area. Maximum occupancy is 8.\n\n**See “Description” Below for ALL details**","Marble Falls, TX, 2-bedroom #1",https://www.airbnb.com/rooms/14359371?location=Burnet%2C%20TX
$850.00,3,Pasadena,August 2015,"Completely renovated single family home in Pasadena, Super Bowl ready, 21 miles and 25 minutes from NRG stadium. Full access allowed. Large master suite with a king size bed and 2 additional bedrooms.","25 Miles to Super Bowl, pool and spa, full access",https://www.airbnb.com/rooms/16678532?location=Beach%20City%2C%20TX
$52.00,1,College Station,February 2016,"My place is great because of how close it is to Kyle Field, the George Bush Library, Northgate and great places to eat! My apartment's tidiness, accommodations and great price will be a couple of the many reasons any person/couple will love it!",VACATION RENTAL FOR JUNE AND JULY!,https://www.airbnb.com/rooms/13334742?location=College%20Station%2C%20TX
$450.00,5,San Antonio,September 2016,Morning Star has an elegance of \,Welcome to MORNING STAR,https://www.airbnb.com/rooms/17714313?location=Cibolo%2C%20TX
$300.00,4,Allen,May 2015,"My home is in a very family oriented neighborhood with access to major highways (2 miles to 75 and 4 miles to 121); 45 minutes to DFW and Dallas Love airports and 45 minutes to downtown Dallas. Enjoy an amazing range of shopping within 10-20 minutes - Premium Outlet Mall, Stonebriar Mall and Watters Creek. Great for couples, solo adventurers, business travelers and families (with kids). NO PARTIES!",Beautiful 4 Br/4 Ba Home Near Major Highways,https://www.airbnb.com/rooms/9793383?location=Celina%2C%20TX
$207.00,2,Bandera,May 2014,"2 bedroom house. Sleeps 6 total. 2 Twin Sleeper Futons in living room. First bedroom has a King bed, Walk in closet, and an electric fire place. Second bedroom has a Queen size bed. Full Kitchen with Stove, Refrigeratior/Icemaker, Microwave, Toaster, Coffeepot, Utensils, Plates, Cookware. Shower. Linens and Towels provided. Dish TV. Window AC/Heat. Downtown Bandera, TX. No Pets. No Smoking Inside Accommodation. Ferral Cats live on property and are fed.",Hackberry House,https://www.airbnb.com/rooms/14471311?location=Center%20Point%2C%20TX
$100.00,2,Humble,January 2016,"My home, built in 2016, is 5 min from the airport in a quiet neighborhood. You will have the entire second story to yourself, with 2BR, couch, 70 in tv, full bed, inflatable queen mattress and bathroom. It is 15 min away from downtown and 30 min away from NRG. Minutes away from restaurants, mall, grocery store and 24 hr emergency room. Other amenities include a gym w/ treadmill and erg machine. We have a crate-trained German shepherd which will be limited to the 1st floor master and backyard.",Cozy Second floor to yourself minutes from IAH,https://www.airbnb.com/rooms/16925131?location=Cleveland%2C%20TX
$105.00,2,San Antonio,June 2017,"A cozy apartment located in downtown San Antonio. This space is within walking distance to the Convention Center, Hemisfair Park, and the Alamodome. It is also located near the Southtown District, which features an array of restaurants, bars, and shops. Enjoy the close public park that has a baseball field, large playground, and picnic tables. We offer guests FREE pick up and drop-off from the San Antonio International Airport. There is also ample street parking, or use bike-share rack.",Downtown Apartment located near Convention Center,https://www.airbnb.com/rooms/19065840?location=Alamo%20Heights%2C%20TX
$81.00,3,Humble,January 2017,"Entire 3 bedroom/2 full bath home in a quiet neighborhood. Third bedroom area furnished for office space for work/communication. Large driveway with private parking for 6 vehicles or RV.\n5 Miles to IAH, family activities, some great restaurants. Blocks from US 59, NE Medical Center/Kingwood Medical Center. Great for couples, solo adventurers, business travelers, and families.\n**Mondays and Thursdays are blocked for bookings - NOTE: these nights, I can often make exceptions for extended stays.**",Entire home 5 Miles From IAH Blocks from Hwy 59/69,https://www.airbnb.com/rooms/17006337?location=Cleveland%2C%20TX
$40.00,1,Fort Worth,April 2017,"Warm, Cozy house located in North of Fort Worth with family-friendly and safe environment close to shopping and restaurants. Conveniently located in Alliance/North Fort Worth, 5 minutes drive to I35, Alliance Town Center and 15 minutes drive to Fort Worth downtown.\n\nLooking for long term single student/professional renters and no pets/smoking allowed.","Warm, Cozy Private Room in North Fort Worth",https://www.airbnb.com/rooms/18359567?location=Colleyville%2C%20TX
$120.00,3,Katy,April 2017,"Bienvenidos! This gorgeous one-story home offers 3 bedrooms, 2 bathrooms and a 2-car garage. The elegant plan features a study room equipped with a sofa bed, gorgeous kitchen and great living space with TV (netflix included). It is tailored for all. We are located in Katy, TX, in close proximity to Katy Mills Shopping Mall, Houston Premium Outlets, Typhoon Water Park, energy corridor, and new hospital area. We sincerely hope you will have a wonderful and profitable stay in our dear town of Katy.",Lovely Katy Home (3BR/2B) - Fantastic Location,https://www.airbnb.com/rooms/19387030?location=Cinco%20Ranch%2C%20TX
$59.00,1,Irving,October 2015,"Welcome to your happy place - a newly renovated, well lit and furnished private bedroom with bath/shower over tub and accompanying closet area. Located in the heart of Las Colinas, a great neighborhood - quiet and surrounded by the lake. Guests from all backgrounds are most welcome here. Complimentary guest parking available. Good access to the highway - 2mins away.",Luxury Private Bedroom & Bath in Las Colinas,https://www.airbnb.com/rooms/18180466?location=Carrollton%2C%20TX
$45.00,1,Manor,June 2017,"Cozy place, 10 miles from downtown Austin, convenient to shopping centers, restaurants.",Clara Martin Suite,https://www.airbnb.com/rooms/19475525?location=Coupland%2C%20TX
$30.00,1,Katy,June 2016,"My place is good for couples, solo adventurers, business travelers, and families (with kids).",Charming private room in gated community in Katy,https://www.airbnb.com/rooms/16016475?location=Cinco%20Ranch%2C%20TX
$199.00,3,League City,May 2013,"Cozy Water View Lodge w/ Pool (3/3.5)\nGreat sunset views of Clear Lake from every window and day views from the back with a deck overlooking the pool. Bring your kayaks, jet ski's or use our 40 ft boat slip. You’ll love our place because of the coziness, the views, the high ceilings and the kitchen. It's great for couples, solo adventurers, business travelers, families (with kids), or groups.",Cozy with a Water View,https://www.airbnb.com/rooms/15732481?location=Clear%20Lake%20Shores%2C%20TX
$38.00,1,Houston,May 2016,"This spare room within a 2 bed/2 bath condo is within Houston's medical center district. It is minutes away from Hermann Park, Rice University, NRG Stadium, Houston Zoo, and of course, the medical center. The listing is a 3 minute walk from the nearest bus stop and a 15 minute walk from the nearest light rail station. \n\nCable, wifi, and toiletries included.","Comfy, Affordable Med Center Room",https://www.airbnb.com/rooms/16946736?location=Bellaire%2C%20TX
$250.00,3,Bryan,May 2017,"Fully remodeled and furnished home centrally located on a quiet culdasec on the Bryan/College Station borderline. This home boasts of a large living room, spacious kitchen with tile counter tops, breakfast area &amp; eat in kitchen. Dining room is open to the kitchen and large enough to be a second living space. Enjoy evenings on the back porch or take a quick walk to either the Garden Acres park or Tanglewood park and splashpad. Close to shopping, restaurants, bars, and so much more.",Great Home Away From Home,https://www.airbnb.com/rooms/18569309?location=College%20Station%2C%20TX
$45.00,1,Houston,January 2017,"YOU WILL LOVE IT. Safety, Convenience, Comfort, and Cost-Effective! One of the MOST affordable short-term medical housing.\n\nThis is an Updated all furnished 2 bedrooms and 2 bathrooms condo apartment with modern furnishings. Each private bedroom has it's own LOCK and bathroom in the bedroom suite so there is NO sharing with the other bedroom or another guest. Kitchen is furnished with all basic appliances, silverwares, cook wares, plates, bowls, glasses, etc.",Texas Medical Center 2 BedRoom 2 BathRoom - Room 1,https://www.airbnb.com/rooms/17341645?location=Bellaire%2C%20TX
$800.00,1,Conroe,January 2017,Beautiful quiet neighborhood right across the street from a park on a golf course. Private parking and only 45 minutes away from NRG Stadium. Perfect place to relax and unwind. Only 10 minutes away from tons of dine in and take out restaurants.,Home right off of golf course,https://www.airbnb.com/rooms/16954892?location=Conroe%2C%20TX
$40.00,1,San Antonio,May 2016,"Make yourself at home in this double size bedroom suite with private entrance. \n\n 3 min from I-35. 10 min to downtown San Antonio, 15 min to the airport, 20 min to Six Flags, Sea World.",Family Suite with private entrance,https://www.airbnb.com/rooms/16353972?location=Cibolo%2C%20TX
$150.00,2,Houston,March 2017,"We do not rent out the entire property, only private rooms.\nRegistered guests can enjoy the outside pool area, large backyard, and pier, along with the saltwater pool and heated jacuzzi which can be enjoyed between 8 am and 10 pm. \n\nStart your day with a walk/jog in this friendly neighborhood, enjoy a game of tennis or basketball, or fill it with one or more of the area's many tourist attractions or healthy lifestyle activities.",PRIVATE SUITE & POOLSIDE ROOM,https://www.airbnb.com/rooms/17760693?location=Clear%20Lake%20Shores%2C%20TX
$1083.00,4,Concan,February 2016,"Little Blanco is a gorgeous vacation rental house located in Concan, Texas. It is in the beautiful 18 hole golf course in Concan. It is also on one of the highest points of the Golf Course. It has over 4342 sq. ft. of livable space for you and your guests. It has 4 bedrooms and 4 bathrooms and sleeps 28 people. It is a single level home.",Little Blanco,https://www.airbnb.com/rooms/17808720?location=Concan%2C%20TX
$35.00,1,Dallas,May 2016,"Bedroom pictured has full bed, full closet w/ hangers, chiffarobe with shelving, and chest of drawers.. You will also have private access to your own TV room with a 60\","Nice family home close to 635, Garland & Mesquite",https://www.airbnb.com/rooms/19488681?location=Balch%20Springs%2C%20TX
$130.00,1,Austin,March 2014,"*Not an actual Treehouse\n\nWelcome to my spacious 1 bedroom apartment located on the 2nd floor. Huge windows, a working fireplace, laminate hardwood floors, wifi, and a comfortable queen size bed are just a few perks this great space offers. I offer a self check-in so you are welcome to arrive anytime after the check-in time that's convenient for you.",Treehouse Oasis with 2 bikes,https://www.airbnb.com/rooms/4279079?location=Colorado%20River%2C%20TX
$22.00,1,San Antonio,April 2015,"My place is close to the airport. The bed is located in the front room but is closed off from the rest of the house and people traffic. You’ll love my place because of the neighborhood and the kitchen. My place is good for solo adventurers. \nPrivate room for rent, located in an established neighborhood with quick access to Loop 410, US 281 and IH-35. Only 5 minutes from the airport, 10 minutes to BAMC, and 15 to the UTHSCSA. It's perfect for anyone visiting for a short stay.",Airport Trundle bed with shared bath,https://www.airbnb.com/rooms/13276148?location=Cibolo%2C%20TX
$110.00,2,Canyon Lake,June 2014,"Our wooded retreat is nestled among old growth oaks in the Potter's Creek area, just five minutes north of Canyon Lake. It is the perfect weekend spot to unwind, decompress, and get back to what's important in life. The scent of cedar will reinvigorate you, while the green hills and crystal clear rivers will call your name. Strategically located, you will be less than an hour away from Pedernales, Blanco, Wimberley, Fredericksburg and all they have to offer. Local Tax (Word CC) of 4% Included.","Emerald Gem in The Texas Hill Country, Canyon Lake",https://www.airbnb.com/rooms/16338611?location=Canyon%20Lake%2C%20TX
$31.00,1,Manor,April 2016,"My place is close to Austin and all that it has to offer!. You’ll love my place because of the outdoor space, the neighborhood, and the comfy bed. My place is good for couples, solo adventurers, and business travelers.",the Haven at Shadow Glen #2,https://www.airbnb.com/rooms/14854727?location=Coupland%2C%20TX
$115.00,3,Spring,October 2016,"Perfect for 1 week or longer stay. 3 bedrooms, the master has a private bath &amp; the others share a bath. The deck area has a very private feel to enjoy a beverage, smoke or to fellowship with one another.",Perfect for 1 week or longer stay.,https://www.airbnb.com/rooms/15763855?location=Cleveland%2C%20TX
$75.00,1,Irving,May 2016,"Top floor condominium overlooking all of Las Colinas. Central to everything including major highways, restaurants, DFW/Love airport, bars, shopping, and grocery stores. Fully furnished, private bedroom and bath, with everything you might need during your stay~","Great, private bedroom/bath near DFW airport",https://www.airbnb.com/rooms/13335834?location=Colleyville%2C%20TX
$50.00,1,McKinney,October 2015,"A delightful bedroom, twin bed, designer bedding, private ensuite 3 pc bath, TV in room, personal beverage center stocked for Keurig, private refrigerator, an additional roll-away bed available \nAccess to the outdoor space with pool &amp; deck\nHome is in the historic district just walking distance to the downtown square \nMcKinney is known for having a vibrant downtown area and If it’s any testament to the town, Money Magazine rated McKinney #1 place to live!",BEAUTIFUL VICTORIAN FARMHOUSE,https://www.airbnb.com/rooms/8862814?location=Celina%2C%20TX
$125.00,2,Conroe,January 2014,"This Executive furnished apartment features a 1200 sq/ft 2 bed / 2 bath with a spacious family room. It sleeps 6 people comfortably. It includes a fully equipped kitchen with modern appliances, and everything that anybody would need to cook up a delicious meal. The pool view apartment also features dramatic nine-foot ceilings,Ceramic tile entries, Custom trim &amp; Crown moldings, Ceiling fans, Built-in Computer desks Oversized garden tubs, Expansive walk-in closets and full size washer and dryer.",Gorgeous Pool View 2BDR/2Bath-Woodlands #12HP02,https://www.airbnb.com/rooms/15107195?location=Cleveland%2C%20TX
